Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
start_e140c0f9	o	2157. I used to believe in order. In the chain of command. But now... I don't know anymore.	game/script.rpy	38	o "[what]"
start_cf7c7db1	o	The rich look down on us from their towers while the rest of us struggle in the chaos on the ground.	game/script.rpy	39	o "[what]"
start_871cd974	v	Orion Solis. You're exactly the type we need. Aegis watches everything. And we've been watching you.	game/script.rpy	43	v "[what]"
start_51135c0c	o	I'm no pawn, Castille. Not anymore.	game/script.rpy	45	o "[what]"
start_81b7522c	v	Good. Then maybe you're ready to be a player. This planet needs decisions. Hard ones.	game/script.rpy	47	v "[what]"
want_3f7b2010	o	Tell me what you want.	game/script.rpy	58	o "[what]"
listening_971152e1	o	I'm listening, for now.	game/script.rpy	62	o "[what]"
out_abf2e762	o	If this is a power grab, I'm out.	game/script.rpy	66	o "[what]"
out_7ab585d3	v	This isn't about power, Orion. It's about survival.	game/script.rpy	67	v "[what]"
continue1_217a24d2	v	NOVA can restore order to the world. It would save millions of lives.	game/script.rpy	71	v "[what]"
continue1_47222176	o	At the cost of how many others? A brutal order.	game/script.rpy	72	o "[what]"
continue1_cc6cb835	v	Casualties may be necessary, yes. That is an outcome Aegis is willing to accept.	game/script.rpy	73	v "[what]"
skeptical_24e06c17	o	I can't commit to something without questioning it first.	game/script.rpy	85	o "[what]"
skeptical_238e4286	v	If you hesitate too long, you might find yourself on the wrong side of history.	game/script.rpy	86	v "[what]"
interested_119ce3d7	o	If it means securing a future for humanity, I'll do what it takes.	game/script.rpy	90	o "[what]"
interested_23fe35b7	v	Good. We don't have the luxury of hesitation. You'll be briefed on your first directive shortly.	game/script.rpy	91	v "[what]"
balanced_view_bdc34af2	o	There must be a third way—one that protects both lives and freedom.	game/script.rpy	96	o "[what]"
balanced_view_d32697e6	v	Idealism rarely survives first contact with reality, Solis. But keep that thought—perhaps you'll find a way.	game/script.rpy	97	v "[what]"
act1part2_2aa46417	o	Things can't go on like this. Maybe Castille is right.	game/script.rpy	105	o "[what]"
act1part2_bfb93872	o	Maybe NOVA is the way forward.	game/script.rpy	106	o "[what]"
act1part2_84f1a7d5	t	If you choose wrong, it's not just the top that burns. We all do.	game/script.rpy	110	t "[what]"
act1part2_588a891a	t	Down here, we fight for air. And Aegis? Just another boot on our necks.	game/script.rpy	111	t "[what]"
act1part2_6a6ee71d	t	You can make things right.	game/script.rpy	112	t "[what]"
act1part2_452d1b5e	o	What is right? What good is freedom if we are barely surviving?	game/script.rpy	114	o "[what]"
act1part2_5ca313f2	t	If we take down Aegis, we can rebuild. We will never get another chance.	game/script.rpy	116	t "[what]"
act1part3_c6f1b11c	v	Solis. Welcome to Aegis. I'd like you to meet our lead engineer: Elias Rowe. You will be acting to secure the facility while he deploys NOVA.	game/script.rpy	126	v "[what]"
act1part3_9df60211	e	I built NOVA to save what's left of this world. It can react faster than any human.	game/script.rpy	132	e "[what]"
act1part3_80dc5715	e	It can prevent conflict and avoid needless suffering.	game/script.rpy	133	e "[what]"
act1part3_eb384bb0	o	But at the cost of freedom.	game/script.rpy	135	o "[what]"
act1part3_21e675fb	e	Yes. But maybe that can be mitigated. I still have time to build guardrails into NOVA.	game/script.rpy	137	e "[what]"
curious_671884f9	o	Does Castille know?	game/script.rpy	150	o "[what]"
curious_01c83cf2	e	No. It's better that way. Vera has a... particular way of running things around here.	game/script.rpy	151	e "[what]"
curious_098e1c9d	e	She believes that NOVA requires full control to be effective.	game/script.rpy	152	e "[what]"
curious_b9fea905	o	And what do you believe?	game/script.rpy	153	o "[what]"
curious_2565e36a	e	I believe in humanity's potential to grow through this adversity. It just needs a little help.	game/script.rpy	154	e "[what]"
interested2_4e6b7974	o	What kind of guardrails?	game/script.rpy	158	o "[what]"
interested2_bf46e6fb	e	I can prevent it from taking action directly. It can act as an advisor, providing guidance on the restoration of peace.	game/script.rpy	159	e "[what]"
interested2_9ec581a9	o	Do you think that's enough?	game/script.rpy	160	o "[what]"
interested2_5ebbfc74	e	I don't know. But I don't think I can implement what Vera wants in good conscience.	game/script.rpy	161	e "[what]"
confront_28fcb038	o	You're playing with fire. Shut it down before anyone uses it.	game/script.rpy	165	o "[what]"
confront_603a98e3	e	Shut it down? The infrastructure's already hard-wired. If we kill NOVA now, Aegis will just build something worse.	game/script.rpy	166	e "[what]"
confront_e4136e06	o	Then we stay and make sure it's built right. Or smash the tools after—your pick.	game/script.rpy	167	o "[what]"
fork_elias_secret_5fe1f87b	o	Your secret's safe. Tell me what you need.	game/script.rpy	178	o "[what]"
fork_elias_secret_45e1c0eb	e	Meet me later. We'll finish the patch together.	game/script.rpy	179	e "[what]"
fork_elias_secret_e95c4735	o	This is bigger than both of us. I have to tell Vera.	game/script.rpy	184	o "[what]"
act1_report_7bc8369c	v	I guessed Elias had doubts, but not treason. You did well, Solis.	game/script.rpy	189	v "[what]"
act1_report_def9cefe	v	Guard the control room while we strip his failsafes. The launch window is in 48 hours.	game/script.rpy	190	v "[what]"
act1_report_3affe548	o	Understood.	game/script.rpy	191	o "[what]"
act2_e9540945	t	The clock is ticking. Aegis will launch NOVA soon. Once it's online, there's no turning back.	game/script.rpy	208	t "[what]"
act2_a253bd17	t	We need you, Orion. But only if you're truly ready.	game/script.rpy	209	t "[what]"
act2_5c2ed269	o	Tell me the plan.	game/script.rpy	211	o "[what]"
